image_path,label,week
Research Data Set each week\Week 1\Wheats\IMG_20241102_093159.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093201.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093206.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093209.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093213.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093228.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093231.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093255.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_093300.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094209.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094212.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094241.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094246.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094248.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094429.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094434.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094440.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094504.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094509.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094608.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094612.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094616.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094626.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094628.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094639.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094643.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_094646.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_095316.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_095342.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Wheats\IMG_20241102_095345.jpg,Wheats,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_091927.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_091958.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092002.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092104.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092112.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092126.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092131.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092303.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092309.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092322.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092326.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092342.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092807.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092826.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092830.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092850.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092902.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092909.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092921.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092926.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_092932.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093009.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093013.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093018.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093051.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093056.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093059.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093116.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093126.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093132.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093154.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093239.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093243.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093247.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093410.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093412.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093422.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093536.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093542.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093546.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093548.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093600.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093605.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093612.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093919.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093928.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_093938.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094206.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094220.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094233.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094300.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094318.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094327.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094330.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094343.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094515.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094519.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094633.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_094834.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095127.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095136.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095141.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095148.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095155.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095319.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095328.jpg,Weeds,Week 1
Research Data Set each week\Week 1\Weeds\IMG_20241102_095337.jpg,Weeds,Week 1
Research Data Set each week\Week 2\Wheats\IMG_20241109_095606.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095618.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095628.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095631.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095638.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095710.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095726.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095730.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095818.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095852.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095855.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095857.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095859.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095915.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095920.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095924.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095935.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095938.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095943.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_095952.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100003.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100007.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100010.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100014.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100034.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100056.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100058.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100101.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100103.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100105.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100128.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100130.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100141.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100145.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100147.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100150.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100153.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100201.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100227.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100245.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100249.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100252.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100254.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100345.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100348.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100351.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100401.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100406.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100410.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100518.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100521.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100525.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100534.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100538.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100542.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100638.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100712.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100714.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100808.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100810.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100817.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100823.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100833.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100838.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100908.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100936.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100942.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100948.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_100951.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101005.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101007.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101010.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101358.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101402.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101406.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101408.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101414.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101452.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101459.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101508.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101510.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101513.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101601.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101604.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101608.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101706.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101709.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101735.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101738.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101740.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101747.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Wheats\IMG_20241109_101749.jpg,Wheats,Week 2
Research Data Set each week\Week 2\Weeds\.trashed-1734323923-IMG_20241116_093837.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095602.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095608.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095614.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095616.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095625.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095642.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095656.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095708.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095726.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095730.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095736.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095739.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095801.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095807.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095815.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095918.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095931.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_095948.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100232.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100235.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100238.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100240.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100242.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100355.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100419.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100429.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100442.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100449.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100510.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100512.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100846.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100900.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_100957.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101001.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101112.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101133.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101138.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101233.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101237.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101242.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101245.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101301.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101304.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101308.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101311.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101314.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101320.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101329.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101334.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101342.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101344.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101355.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101431.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101440.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101445.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101610.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101616.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101619.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101624.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101646.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101655.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101702.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101716.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241109_101718.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_094118.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_094143.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_094239.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_094258.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_094417.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_094456.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095016.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095056.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095213.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095222.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095249.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095301.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095307.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095713.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095721.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095835.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_095845.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_100618.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_100620.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_100640.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_100940.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_100956.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_101009.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_101134.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_101346.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_101701.jpg,Weeds,Week 2
Research Data Set each week\Week 2\Weeds\IMG_20241116_101705.jpg,Weeds,Week 2
Research Data Set each week\Week 3\Wheats\.trashed-1734323930-IMG_20241116_093834.jpg,Wheats,Week 3
